Adding dependency `gcc/4.6.3` to your environment
Adding dependency `openssl/1.0.2-gcc-4.6.3` to your environment
Adding dependency `netlib-lapack/3.7.0-gcc-4.6.3` to your environment
Adding dependency `python/2.7.8-1` to your environment
Adding package `python-networkx/python2.7.8` to your environment
Adding dependency `gcc/4.6.3` to your environment
Adding dependency `openssl/1.0.2-gcc-4.6.3` to your environment
Adding dependency `netlib-lapack/3.7.0-gcc-4.6.3` to your environment
Adding dependency `python/2.7.8-1` to your environment
Adding package `python-networkx/python2.7.8` to your environment
ERROR: unable to add versioned package: python/2.7.8 conflicts with version: python/2.7.8-1
Adding package `openmpi/1.6.3-gcc` to your environment
ERROR: unable to add versioned package: python/2.7.8 conflicts with version: python/2.7.8-1
ERROR: unable to add versioned package: python/2.7.8 conflicts with version: python/2.7.8-1

Running on node01-28 with job id 235758

Using 16 processors.
85.0117866706

real	33m52.187s
user	299m51.394s
sys	8m14.458s
Adding dependency `gcc/4.6.3` to your environment
Adding dependency `openssl/1.0.2-gcc-4.6.3` to your environment
Adding dependency `netlib-lapack/3.7.0-gcc-4.6.3` to your environment
Adding dependency `python/2.7.8-1` to your environment
Adding package `python-networkx/python2.7.8` to your environment
Adding dependency `gcc/4.6.3` to your environment
Adding dependency `openssl/1.0.2-gcc-4.6.3` to your environment
Adding dependency `netlib-lapack/3.7.0-gcc-4.6.3` to your environment
Adding dependency `python/2.7.8-1` to your environment
Adding package `python-networkx/python2.7.8` to your environment
ERROR: unable to add versioned package: python/2.7.8 conflicts with version: python/2.7.8-1
Adding package `openmpi/1.6.3-gcc` to your environment
ERROR: unable to add versioned package: python/2.7.8 conflicts with version: python/2.7.8-1
ERROR: unable to add versioned package: python/2.7.8 conflicts with version: python/2.7.8-1

Running on node01-28 with job id 235958

/home/vlachos/mpnunez/python_packages/sklearn/lib/python2.7/site-packages/sklearn/neural_network/multilayer_perceptron.py:1306: DataConversionWarning: A column-vector y was passed when a 1d array was expected. Please change the shape of y to (n_samples, ), for example using ravel().
  y = column_or_1d(y, warn=True)
/home/vlachos/mpnunez/python_packages/sklearn/lib/python2.7/site-packages/sklearn/neural_network/multilayer_perceptron.py:564: ConvergenceWarning: Stochastic Optimizer: Maximum iterations (200) reached and the optimization hasn't converged yet.
  % self.max_iter, ConvergenceWarning)
Using 16 processors.
0 generations have elapsed.
Evaluation time: 0.329507827759 seconds
Iteration 1, loss = 14.40559167
Iteration 2, loss = 13.94068035
Iteration 3, loss = 13.33249392
Iteration 4, loss = 13.10726694
Iteration 5, loss = 12.88943435
Iteration 6, loss = 12.70064666
Iteration 7, loss = 12.47572203
Iteration 8, loss = 12.24853188
Iteration 9, loss = 12.06902753
Iteration 10, loss = 11.85829577
Iteration 11, loss = 11.67256438
Iteration 12, loss = 11.47724794
Iteration 13, loss = 11.26072540
Iteration 14, loss = 11.07039744
Iteration 15, loss = 10.88851670
Iteration 16, loss = 10.71214705
Iteration 17, loss = 10.50677606
Iteration 18, loss = 10.31597968
Iteration 19, loss = 10.10948144
Iteration 20, loss = 9.89438937
Iteration 21, loss = 9.69979940
Iteration 22, loss = 9.51679497
Iteration 23, loss = 9.31025220
Iteration 24, loss = 9.10906340
Iteration 25, loss = 8.89885529
Iteration 26, loss = 8.67584145
Iteration 27, loss = 8.47050790
Iteration 28, loss = 8.25155564
Iteration 29, loss = 8.04092555
Iteration 30, loss = 7.83319384
Iteration 31, loss = 7.61860145
Iteration 32, loss = 7.43248707
Iteration 33, loss = 7.21160160
Iteration 34, loss = 7.03781729
Iteration 35, loss = 6.79085551
Iteration 36, loss = 6.59907166
Iteration 37, loss = 6.39130260
Iteration 38, loss = 6.17103200
Iteration 39, loss = 5.97548843
Iteration 40, loss = 5.79892436
Iteration 41, loss = 5.56442232
Iteration 42, loss = 5.36982525
Iteration 43, loss = 5.21526001
Iteration 44, loss = 5.04637399
Iteration 45, loss = 4.83096875
Iteration 46, loss = 4.65885420
Iteration 47, loss = 4.47799380
Iteration 48, loss = 4.31141374
Iteration 49, loss = 4.13026035
Iteration 50, loss = 3.97770938
Iteration 51, loss = 3.82005437
Iteration 52, loss = 3.67196646
Iteration 53, loss = 3.53378026
Iteration 54, loss = 3.43395740
Iteration 55, loss = 3.29769497
Iteration 56, loss = 3.16954559
Iteration 57, loss = 2.99268071
Iteration 58, loss = 2.89707467
Iteration 59, loss = 2.79341090
Iteration 60, loss = 2.66903490
Iteration 61, loss = 2.56641190
Iteration 62, loss = 2.44908599
Iteration 63, loss = 2.35322058
Iteration 64, loss = 2.27511804
Iteration 65, loss = 2.18094740
Iteration 66, loss = 2.10023563
Iteration 67, loss = 2.01266353
Iteration 68, loss = 1.93889872
Iteration 69, loss = 1.87070760
Iteration 70, loss = 1.81121331
